FREQ,I,P,PF,Q,S,THDi,U,device,load,ts
59.98471450805664,0.4617214500904083,0.0,0.9387750625610352,0.0,56.501468658447266,0.0,122.37389373779297,adw220,PC,2025-10-31T15:22:37.038787Z
60.005584716796875,1.765346646308899,84.73653411865234,0.3918437957763672,197.35897827148438,215.65664672851562,15.48,122.16128540039062,adw220,Motor,2025-10-31T15:03:20.591813Z
59.97505187988281,1.7587186098098755,82.0268783569336,0.3821420669555664,196.62486267089844,214.18841552734375,17.25,121.78746795654297,adw220,Motor,2025-10-31T15:02:16.884088Z
60.00410079956055,0.0,0.0,1.0,0.0,0.0,0.0,122.50039672851562,adw220,NoLoad,2025-10-31T15:05:04.378315Z
60.04753494262695,0.2820492088794708,0.0,1.0,0.0,0.0,0.0,121.8075942993164,adw220,Cell,2025-10-31T15:20:20.175447Z
59.93199920654297,0.4550457298755646,0.0,0.9379301071166992,0.0,55.68230438232422,0.0,122.36956787109375,adw220,PC,2025-10-31T15:23:08.849192Z
60.017784118652344,0.0,0.0,1.0,0.0,0.0,0.0,121.90455627441406,adw220,NoLoad,2025-10-31T15:04:44.331080Z
60.03136444091797,0.0,0.0,1.0,0.0,0.0,0.0,122.39215850830078,adw220,NoLoad,2025-10-31T15:04:21.186848Z
60.042144775390625,0.28012993931770325,0.0,1.0,0.0,0.0,0.0,122.22281646728516,adw220,Cell,2025-10-31T15:20:17.747008Z
60.009376525878906,0.2940059006214142,0.0,1.0,0.0,0.0,0.0,121.52271270751953,adw220,Cell,2025-10-31T15:20:37.658962Z
60.00965118408203,0.0,0.0,1.0,0.0,0.0,0.0,121.96619415283203,adw220,NoLoad,2025-10-31T15:04:54.299631Z
59.97044372558594,0.0,0.0,1.0,0.0,0.0,14.64,122.10406494140625,adw220,NoLoad,2025-10-31T15:03:35.415083Z
60.004432678222656,0.2802014648914337,0.0,1.0,0.0,0.0,0.0,121.38910675048828,adw220,Cell,2025-10-31T15:19:11.428339Z
60.008827209472656,0.5636692643165588,65.52421569824219,0.9499998092651367,0.0,68.86055755615234,0.0,122.16679382324219,adw220,PC,2025-10-31T15:22:22.304124Z
60.00311279296875,0.29091838002204895,0.0,1.0,0.0,0.0,0.0,121.57573699951172,adw220,Cell,2025-10-31T15:19:55.668041Z
59.964134216308594,1.7730237245559692,84.13521575927734,0.38869190216064453,198.27215576171875,216.46983337402344,15.92,122.09090423583984,adw220,Motor,2025-10-31T15:02:57.356870Z
60.0081672668457,0.0,0.0,1.0,0.0,0.0,0.0,121.96705627441406,adw220,NoLoad,2025-10-31T15:05:01.689217Z
59.9469108581543,0.30230286717414856,0.0,1.0,0.0,0.0,0.0,121.28489685058594,adw220,Cell,2025-10-31T15:19:38.360758Z
59.93369674682617,0.45403245091438293,0.0,0.9310340881347656,0.0,55.48833084106445,0.0,122.21417999267578,adw220,PC,2025-10-31T15:22:51.869402Z
59.973297119140625,0.0,0.0,1.0,0.0,0.0,14.64,121.66230010986328,adw220,NoLoad,2025-10-31T15:03:32.989456Z
60.00531005859375,0.2906680405139923,0.0,1.0,0.0,0.0,0.0,121.4664306640625,adw220,Cell,2025-10-31T15:19:58.092367Z
59.96665573120117,0.0,0.0,1.0,0.0,0.0,0.0,122.46916961669922,adw220,NoLoad,2025-10-31T15:05:11.806577Z
59.982242584228516,1.7553330659866333,83.92930603027344,0.3917703628540039,195.5535430908203,213.75123596191406,15.97,121.77254486083984,adw220,Motor,2025-10-31T15:03:25.446645Z
60.03290557861328,0.3027200996875763,0.0,1.0,0.0,0.0,0.0,121.56954956054688,adw220,Cell,2025-10-31T15:20:32.813953Z
60.0046501159668,0.29474499821662903,0.0,1.0,0.0,0.0,0.0,121.60626983642578,adw220,Cell,2025-10-31T15:20:40.082435Z
59.97779846191406,0.0,0.0,1.0,0.0,0.0,0.0,122.80294799804688,adw220,NoLoad,2025-10-31T15:05:09.383665Z
59.98048782348633,0.0,0.0,1.0,0.0,0.0,0.0,120.69776916503906,adw220,NoLoad,2025-10-31T15:18:49.274524Z
59.94021987915039,0.4545927345752716,0.0,0.9305553436279297,0.0,55.36299514770508,0.0,121.78666687011719,adw220,PC,2025-10-31T15:23:20.969753Z
